p(she | hurt) = 1.0
p(asked | she) = 0.016666666666666666
p(told | i) = 0.00510204081632653
p(you | told) = 0.3333333333333333
p(that | you) = 0.020202020202020204
p(would | i) = 0.01020408163265306
p(call | would) = 0.05555555555555555
p(he | call) = 0.125
p(looked | he) = 0.012345679012345678
p(from | looked) = 0.16666666666666666
p(one | from) = 0.05555555555555555
p(to | one) = 0.09523809523809523
p(other | the) = 0.008645533141210375
p(of | other) = 0.14285714285714285
p(us | of) = 0.005376344086021506
p(as | us) = 0.14285714285714285
p(if | as) = 0.06976744186046512
p(uncertain | if) = 0.045454545454545456
p(which | uncertain) = 1.0
p(to | which) = 0.022222222222222223
p(address | to) = 0.0106951871657754
p(grit | <s>) = 0.0028089887640449437
p(in | grit) = 1.0
p(a | in) = 0.10569105691056911
p(sensitive | a) = 0.005555555555555556
p(instrument | sensitive) = 1.0
p(or | instrument) = 1.0
p(a | or) = 0.1111111111111111
p(crack | a) = 0.005555555555555556
p(in | crack) = 1.0
p(one | in) = 0.016260162601626018
p(of | one) = 0.2857142857142857
p(own | his) = 0.05
p(high | own) = 0.0625
p(power | high) = 0.5
p(lenses | power) = 0.5
p(would | lenses) = 1.0
p(not | would) = 0.1111111111111111
p(be | not) = 0.06382978723404255
p(more | be) = 0.023255813953488372
p(disturbing | more) = 0.1
p(than | disturbing) = 1.0
p(a | than) = 0.1
p(strong | a) = 0.005555555555555556
p(emotion | strong) = 0.3333333333333333
p(in | emotion) = 0.5
p(nature | a) = 0.005555555555555556
p(such | nature) = 0.3333333333333333
p(as | such) = 0.42857142857142855
p(his | as) = 0.023255813953488372
p(</s> | his) = 0.0125
p(accustomed | <s>) = 0.0028089887640449437
p(as | accustomed) = 0.3333333333333333
p(to | was) = 0.020202020202020204
p(my | to) = 0.0106951871657754
p(friend | my) = 0.06557377049180328
p(s | friend) = 0.2857142857142857
p(amazing | s) = 0.058823529411764705
p(powers | amazing) = 1.0
p(in | powers) = 0.5
p(use | the) = 0.002881844380403458
p(of | use) = 0.3333333333333333
p(disguises | of) = 0.005376344086021506
p(i | disguises) = 1.0
p(had | i) = 0.05612244897959184
p(to | had) = 0.0392156862745098
p(look | to) = 0.016042780748663103
p(three | look) = 0.14285714285714285
p(times | three) = 0.125
p(before | times) = 0.25
p(i | before) = 0.2222222222222222
p(certain | was) = 0.010101010101010102
p(that | certain) = 1.0
p(it | that) = 0.06741573033707865
p(indeed | was) = 0.010101010101010102
p(he | indeed) = 0.1
p(</s> | he) = 0.07407407407407407
p(they | <s>) = 0.025280898876404494
p(would | they) = 0.06666666666666667
p(have | would) = 0.16666666666666666
p(had | have) = 0.02
p(the | had) = 0.0196078431372549
p(lady | the) = 0.01729106628242075
p(s | lady) = 0.14285714285714285
p(purse | s) = 0.058823529411764705
p(and | purse) = 1.0
p(watch | and) = 0.005
p(if | watch) = 0.25
p(it | if) = 0.09090909090909091
p(hadn | it) = 0.008064516129032258
p(t | hadn) = 1.0
p(been | t) = 0.25
p(for | been) = 0.038461538461538464
p(him | for) = 0.02702702702702703
p(rather | <s>) = 0.0028089887640449437
p(than | rather) = 0.25
p(i | than) = 0.2
p(marry | should) = 0.08333333333333333
p(another | marry) = 0.5
p(woman | another) = 0.25
p(there | woman) = 0.08333333333333333
p(are | there) = 0.10344827586206896
p(no | are) = 0.05
p(lengths | no) = 0.07692307692307693
p(to | lengths) = 1.0
p(which | to) = 0.0053475935828877
p(would | she) = 0.08333333333333333
p(go | not) = 0.02127659574468085
p(none | go) = 0.3333333333333333
p(you | none) = 0.16666666666666666
p(are | you) = 0.06060606060606061
p(sure | are) = 0.05
p(that | sure) = 0.6666666666666666
p(not | has) = 0.058823529411764705
p(sent | not) = 0.02127659574468085
p(it | sent) = 0.3333333333333333
p(yet | it) = 0.008064516129032258
p(i | yet) = 0.18181818181818182
p(sure | am) = 0.06666666666666667
p(and | sure) = 0.3333333333333333
p(why | and) = 0.01
p(because | why) = 0.16666666666666666
